192.99.38.200; Emotet Trojan
109.74.204.70; Emotet Trojan
119.82.27.246; Emotet Trojan
194.88.246.7; Emotet Trojan
144.76.79.43; Emotet Trojan
212.83.166.45; Emotet Trojan
85.143.221.180; Emotet Trojan
137.74.254.64; Emotet Trojan
104.236.2.253; Emotet Trojan
188.165.220.214; Emotet Trojan
173.212.192.45; Emotet Trojan
192.81.212.79; Emotet Trojan
164.132.50.32; Emotet Trojan
173.11.129.38; Emotet Trojan
178.62.175.211; Emotet Trojan
173.230.145.224; Emotet Trojan
93.180.157.92; Emotet Trojan
158.69.199.223; Emotet Trojan
74.208.17.10; Emotet Trojan

istitutodarzo.gov.it; Source: https://twitter.com/0_1_0_1_0_0_0_0/status/1219599400495976448?s=09
hmgy.gov.co; Source: https://twitter.com/0_1_0_1_0_0_0_0/status/1219599400495976448?s=09
fcs.mg.gov.br; Source: https://twitter.com/0_1_0_1_0_0_0_0/status/1219599400495976448?s=09
